"Date","Time","Open","High","Low","Close","Vol","OI"
04/02/2009,16:59,78.162,80.510,78.043,80.411,0,0
04/03/2009,16:59,80.361,81.555,79.924,81.521,0,0
04/06/2009,16:59,81.505,82.861,80.855,81.517,0,0
04/07/2009,16:59,81.518,81.733,80.020,81.151,0,0
04/08/2009,16:59,81.113,81.469,79.935,80.649,0,0
04/09/2009,16:59,80.651,82.110,80.434,82.045,0,0
04/10/2009,16:59,82.008,82.156,81.553,81.749,0,0
04/13/2009,16:59,81.835,82.315,81.495,82.033,0,0
04/14/2009,16:59,82.030,82.460,81.255,81.414,0,0
04/15/2009,16:59,81.405,82.740,80.604,82.545,0,0
04/16/2009,16:59,82.555,82.856,81.480,82.200,0,0
04/17/2009,16:59,82.160,82.472,81.100,81.680,0,0
04/20/2009,16:59,81.672,81.921,78.960,79.000,0,0
04/21/2009,16:59,78.990,80.053,78.234,79.877,0,0
04/22/2009,16:59,79.822,79.868,78.265,79.025,0,0
04/23/2009,16:59,79.001,80.198,78.620,80.074,0,0
04/24/2009,16:59,80.084,80.579,79.000,80.285,0,0
04/27/2009,16:59,79.874,79.986,79.133,79.244,0,0
04/28/2009,16:59,79.222,79.399,78.049,79.084,0,0
04/29/2009,16:59,79.083,81.471,78.930,81.151,0,0
04/30/2009,16:59,81.135,83.024,80.911,82.671,0,0
05/01/2009,16:59,82.629,83.981,82.464,83.609,0,0
05/04/2009,16:59,83.559,84.544,83.430,84.239,0,0
05/05/2009,16:59,84.216,84.695,83.860,84.067,0,0
05/06/2009,16:59,84.098,84.454,82.950,84.315,0,0
05/07/2009,16:59,84.325,85.380,84.133,84.694,0,0
05/08/2009,16:59,84.683,85.834,84.415,85.561,0,0
05/11/2009,16:59,85.751,85.913,83.400,83.505,0,0
05/12/2009,16:59,83.485,84.308,82.335,82.930,0,0
05/13/2009,16:59,82.909,83.547,80.885,81.125,0,0
05/14/2009,16:59,81.150,81.973,80.809,81.877,0,0
05/15/2009,16:59,81.800,82.148,80.429,80.811,0,0
05/18/2009,16:59,80.473,82.958,80.116,82.760,0,0
05/19/2009,16:59,82.761,83.591,82.441,82.996,0,0
05/20/2009,16:59,82.981,83.754,82.459,83.077,0,0
05/21/2009,16:59,83.109,83.457,82.328,83.012,0,0
05/22/2009,16:59,83.035,84.750,82.651,84.613,0,0
05/25/2009,16:59,84.357,84.804,83.949,84.335,0,0
05/26/2009,16:59,84.328,85.163,83.503,85.088,0,0
05/27/2009,16:59,85.023,85.858,84.908,84.932,0,0
05/28/2009,16:59,84.882,87.082,84.808,86.965,0,0
05/29/2009,16:59,86.950,87.640,86.493,87.383,0,0
06/01/2009,16:59,87.231,89.070,86.790,88.381,0,0
06/02/2009,16:59,88.348,89.061,87.701,88.548,0,0
06/03/2009,16:59,88.538,89.150,86.170,86.431,0,0
06/04/2009,16:59,86.469,88.351,86.011,88.003,0,0
06/05/2009,16:59,88.016,89.025,87.351,88.121,0,0
06/08/2009,16:59,87.938,88.400,87.221,88.233,0,0
06/09/2009,16:59,88.214,89.183,87.420,88.165,0,0
06/10/2009,16:59,88.125,89.397,87.953,88.472,0,0
06/11/2009,16:59,88.421,89.311,88.320,88.533,0,0
06/12/2009,16:59,88.506,88.726,87.282,87.930,0,0
06/15/2009,16:59,87.858,87.990,85.955,86.244,0,0
06/16/2009,16:59,86.307,86.545,84.795,84.861,0,0
06/17/2009,16:59,84.892,85.735,83.670,84.578,0,0
06/18/2009,16:59,84.588,85.661,84.146,85.240,0,0
06/19/2009,16:59,85.210,86.056,84.605,84.704,0,0
06/22/2009,16:59,84.835,84.892,82.900,83.002,0,0
06/23/2009,16:59,82.975,83.519,82.071,82.807,0,0
06/24/2009,16:59,82.750,83.494,82.540,82.596,0,0
06/25/2009,16:59,82.606,83.688,82.511,83.090,0,0
06/26/2009,16:59,83.053,83.548,82.372,82.570,0,0
06/29/2009,16:59,82.545,83.165,82.242,83.060,0,0
06/30/2009,16:59,83.047,83.374,82.595,82.875,0,0
07/01/2009,16:59,82.851,84.440,82.736,84.045,0,0
07/02/2009,16:59,84.037,84.285,82.400,82.445,0,0
07/03/2009,16:59,82.464,83.045,82.300,82.703,0,0
07/06/2009,16:59,82.676,82.676,81.308,82.219,0,0
07/07/2009,16:59,82.242,82.537,81.180,81.325,0,0
07/08/2009,16:59,81.278,81.388,78.534,79.585,0,0
07/09/2009,16:59,79.526,80.685,79.235,79.985,0,0
07/10/2009,16:59,79.988,80.210,78.756,79.485,0,0
07/13/2009,16:59,79.453,80.775,78.770,80.741,0,0
07/14/2009,16:59,80.716,82.770,80.540,82.515,0,0
07/15/2009,16:59,82.535,84.943,82.325,84.690,0,0
07/16/2009,16:59,84.670,84.745,83.309,84.050,0,0
07/17/2009,16:59,84.040,84.617,83.498,84.595,0,0
07/20/2009,16:59,84.396,85.824,84.332,85.100,0,0
07/21/2009,16:59,85.110,85.986,84.033,84.915,0,0
07/22/2009,16:59,84.906,85.542,84.061,85.156,0,0
07/23/2009,16:59,85.128,87.813,84.965,87.135,0,0
07/24/2009,16:59,87.146,87.853,86.634,87.249,0,0
07/27/2009,16:59,87.345,88.375,87.030,88.014,0,0
07/28/2009,16:59,88.007,88.454,86.227,87.402,0,0
07/29/2009,16:59,87.398,87.703,86.403,87.203,0,0
07/30/2009,16:59,87.246,88.580,86.927,88.175,0,0
07/31/2009,16:59,88.185,88.932,87.404,87.820,0,0
08/03/2009,16:59,87.998,89.477,87.672,89.341,0,0
08/04/2009,16:59,89.358,89.701,88.351,88.764,0,0
08/05/2009,16:59,88.795,89.190,88.025,88.679,0,0
08/06/2009,16:59,88.690,89.607,88.337,88.544,0,0
08/07/2009,16:59,88.516,90.302,87.695,90.173,0,0
08/10/2009,16:59,90.188,90.234,88.820,89.172,0,0
08/11/2009,16:59,89.213,89.261,86.740,87.095,0,0
08/12/2009,16:59,87.055,88.810,85.955,88.147,0,0
08/13/2009,16:59,88.151,89.138,87.230,87.786,0,0
08/14/2009,16:59,87.703,87.926,85.990,86.411,0,0
08/17/2009,16:59,86.065,86.211,84.730,85.255,0,0
08/18/2009,16:59,85.257,86.335,85.176,85.966,0,0
08/19/2009,16:59,85.942,86.260,84.394,85.859,0,0
08/20/2009,16:59,85.856,86.660,85.394,86.630,0,0
08/21/2009,16:59,86.554,87.656,85.434,87.267,0,0
08/24/2009,16:59,87.223,88.396,87.223,87.839,0,0
08/25/2009,16:59,87.830,88.036,86.410,86.632,0,0
08/26/2009,16:59,86.657,86.972,85.618,85.881,0,0
08/27/2009,16:59,85.881,86.315,84.879,85.962,0,0
08/28/2009,16:59,85.962,86.920,85.540,85.690,0,0
08/31/2009,16:59,85.404,85.695,83.775,85.108,0,0
09/01/2009,16:59,85.083,85.746,83.965,84.135,0,0
09/02/2009,16:59,84.104,84.507,83.140,83.402,0,0
09/03/2009,16:59,83.406,84.279,83.190,84.036,0,0
09/04/2009,16:59,84.044,85.785,83.785,85.414,0,0
09/07/2009,16:59,85.496,86.539,85.446,86.290,0,0
09/08/2009,16:59,86.307,86.366,85.226,85.546,0,0
09/09/2009,16:59,85.577,85.879,84.870,85.327,0,0
09/10/2009,16:59,85.301,85.523,84.214,85.261,0,0
09/11/2009,16:59,85.140,85.155,83.776,84.214,0,0
09/14/2009,16:59,83.785,83.989,83.030,83.974,0,0
09/15/2009,16:59,83.980,85.025,83.774,84.857,0,0
09/16/2009,16:59,84.820,85.399,84.280,85.261,0,0
09/17/2009,16:59,85.282,86.024,85.087,85.520,0,0
09/18/2009,16:59,85.490,85.648,84.740,85.352,0,0
09/21/2009,16:59,85.372,85.869,84.993,85.151,0,0
09/22/2009,16:59,85.181,85.693,84.882,85.173,0,0
09/23/2009,16:59,85.191,85.595,84.757,84.959,0,0
09/24/2009,16:59,84.935,85.117,83.503,83.780,0,0
09/25/2009,16:59,83.750,83.820,81.974,82.126,0,0
09/28/2009,16:59,82.055,82.606,80.629,82.596,0,0
09/29/2009,16:59,82.574,83.280,82.351,83.034,0,0
09/30/2009,16:59,83.011,83.972,82.794,83.836,0,0
10/01/2009,16:59,83.816,84.174,82.626,82.628,0,0
10/02/2009,16:59,82.654,83.090,81.285,83.090,0,0
10/05/2009,16:59,82.769,83.999,82.680,83.629,0,0
10/06/2009,16:59,83.647,84.143,83.165,83.848,0,0
10/07/2009,16:59,83.810,84.294,83.212,83.483,0,0
10/08/2009,16:59,83.461,84.206,83.290,84.005,0,0
10/09/2009,16:59,84.026,86.206,83.940,86.078,0,0
10/12/2009,16:59,86.110,87.306,85.778,86.771,0,0
10/13/2009,16:59,86.775,87.230,86.490,86.900,0,0
10/14/2009,16:59,86.909,87.370,86.460,87.333,0,0
10/15/2009,16:59,87.263,88.220,87.089,87.572,0,0
10/16/2009,16:59,87.579,88.282,87.172,87.566,0,0
10/19/2009,16:59,87.566,88.174,87.140,88.016,0,0
10/20/2009,16:59,88.016,88.230,86.200,86.476,0,0
10/21/2009,16:59,86.414,87.640,86.293,87.200,0,0
10/22/2009,16:59,87.178,87.537,86.619,87.119,0,0
10/23/2009,16:59,87.158,87.647,86.950,87.355,0,0
10/26/2009,16:59,87.400,87.660,86.146,86.189,0,0
10/27/2009,16:59,86.225,86.642,85.710,86.153,0,0
10/28/2009,16:59,86.179,86.266,83.850,83.885,0,0
10/29/2009,16:59,83.896,85.860,83.546,85.705,0,0
10/30/2009,16:59,85.635,85.800,82.952,83.080,0,0
11/02/2009,16:59,82.660,84.580,82.032,83.765,0,0
11/03/2009,16:59,83.709,84.760,82.980,84.732,0,0
11/04/2009,16:59,84.700,85.990,84.340,85.375,0,0
11/05/2009,16:59,85.315,85.503,84.320,85.165,0,0
11/06/2009,16:59,85.135,85.325,83.321,83.556,0,0
